id,date,asset,liability
23524,12/31/2001,296745,260599
23524,3/31/2001,256290,221244
23524,6/30/2001,266270,230866
23524,9/30/2001,285671,249933
23530,12/31/2001,33713,29837
23530,3/31/2001,35574,31841
23530,6/30/2001,33952,30150
23530,9/30/2001,33602,29747
23537,12/31/2001,147599,129051
23537,3/31/2001,107377,92562
23537,6/30/2001,116621,99069
23537,9/30/2001,124432,106184
23543,12/31/2001,431729,404206
23543,3/31/2001,322675,297355
23543,6/30/2001,413380,386574
23543,9/30/2001,445207,416228
23544,12/31/2001,98861,90357
23544,3/31/2001,89818,81638
23544,6/30/2001,89716,81499
23544,9/30/2001,94924,86542
23546,12/31/2001,244640,215771
23546,3/31/2001,247081,217994
23546,6/30/2001,245961,215365
23546,9/30/2001,240677,208639
23551,12/31/2001,64171,57692
23551,3/31/2001,49869,43631
23551,6/30/2001,54453,48214
23551,9/30/2001,62504,56077
23556,12/31/2001,190266,168551
23556,9/30/2001,163510,149869
23556,3/31/2001,127878,118316
23556,6/30/2001,146253,133025
23558,3/31/2001,48137,43337
23558,6/30/2001,51408,46449
23558,9/30/2001,52954,47971
23567,12/31/2001,84137,75379
23567,3/31/2001,70953,63625
23567,6/30/2001,73322,65772
23567,9/30/2001,75501,67642
23568,12/31/2001,247937,231948
23568,3/31/2001,255723,240501
23568,6/30/2001,250066,234690
23568,9/30/2001,261601,245321
23577,12/31/2001,691692,628679
23577,3/31/2001,451257,408857
23577,6/30/2001,476974,433787
23577,9/30/2001,489422,445061
23579,12/31/2001,139727,129516
23579,3/31/2001,134509,124589
23579,6/30/2001,139472,129453
23579,9/30/2001,142464,132363
23588,12/31/2001,136515,127403
23588,3/31/2001,118164,109793
23588,6/30/2001,125355,116708
23588,9/30/2001,129983,120810
2359,12/31/2001,208245,190188
2359,3/31/2001,206846,188880
2359,6/30/2001,212466,195196
2359,9/30/2001,216007,195853
23591,12/31/2001,41049,37500
23591,3/31/2001,39885,36643
23591,6/30/2001,41723,38379
23591,9/30/2001,40954,37469
23592,12/31/2001,23325,11605
23592,3/31/2001,24452,13452
23592,6/30/2001,24191,13039
23592,9/30/2001,23695,12165
23594,12/31/2001,1640000,1480000
23594,3/31/2001,1550000,1390000
23594,6/30/2001,1540000,1390000
23594,9/30/2001,1580000,1430000
23595,12/31/2001,71607,63795
23595,3/31/2001,56501,49729
23595,6/30/2001,66433,59511
23595,9/30/2001,65583,57949
23597,12/31/2001,92805,84486
23597,3/31/2001,93325,85357
23597,6/30/2001,92399,84106
23597,9/30/2001,93718,84976
236,12/31/2001,32630,29948
236,3/31/2001,31315,28975
236,6/30/2001,31044,28584
236,9/30/2001,31102,28497
23620,12/31/2001,778597,688838
23620,3/31/2001,715672,628404
23620,6/30/2001,741284,651974
23620,9/30/2001,766178,678079
23621,12/31/2001,1020000,903159
23621,3/31/2001,975400,855770
23621,6/30/2001,1010000,891175
23621,9/30/2001,1020000,909745
23622,12/31/2001,690224,579048
23622,3/31/2001,635026,527984
23622,6/30/2001,656405,547596
23622,9/30/2001,679072,570210
23623,12/31/2001,1370000,1270000
23623,3/31/2001,1320000,1230000
23623,6/30/2001,1320000,1230000
23623,9/30/2001,1360000,1260000
23626,12/31/2001,102305,88633
23626,3/31/2001,103427,91356
23626,6/30/2001,104496,92100
23626,9/30/2001,105026,92091
23627,12/31/2001,1580000,1460000
23627,3/31/2001,1510000,1390000
23627,6/30/2001,1490000,1380000
23627,9/30/2001,1510000,1390000
23632,12/31/2001,177846,166209
23632,3/31/2001,137619,128905
23632,6/30/2001,140550,131681
23632,9/30/2001,157864,148690
23634,12/31/2001,714018,662493
23634,3/31/2001,685738,630806
23634,6/30/2001,684219,632357
23634,9/30/2001,681370,628440
23647,12/31/2001,1020000,955505
23647,3/31/2001,839459,783733
23647,6/30/2001,962242,902205
23647,9/30/2001,1010000,951765
23671,3/31/2001,60637,54992
23671,12/31/2001,62964,57094
23671,6/30/2001,60064,54568
23671,9/30/2001,60913,55306
23675,12/31/2001,65337,58156
23675,3/31/2001,61235,54096
23675,6/30/2001,65211,57860
23675,9/30/2001,66935,59833
23681,12/31/2001,569639,527673
23681,3/31/2001,450164,411572
23681,6/30/2001,500059,460027
23681,9/30/2001,541979,499015
23684,3/31/2001,84954,76358
23684,6/30/2001,83898,75162
23702,12/31/2001,52400000,48000000
23702,3/31/2001,45600000,41700000
23702,6/30/2001,47800000,43900000
23702,9/30/2001,48500000,44100000
23713,12/31/2001,144672,136645
23713,3/31/2001,121208,113712
23713,6/30/2001,123536,116167
23713,9/30/2001,142171,134673
2372,12/31/2001,48221,44798
2372,3/31/2001,49149,45495
2372,6/30/2001,50437,46720
2372,9/30/2001,51273,47858
23737,12/31/2001,114803,105874
23737,3/31/2001,113908,105751
23737,6/30/2001,112594,104183
23737,9/30/2001,112592,103899
23739,12/31/2001,62493,56078
23739,3/31/2001,59910,53586
23739,6/30/2001,59101,52659
23739,9/30/2001,60420,53852
2374,12/31/2001,147368,135565
2374,3/31/2001,142973,132164
2374,6/30/2001,146447,135508
2374,9/30/2001,148753,136753
23743,12/31/2001,255622,233214
23743,3/31/2001,215011,196054
23743,6/30/2001,231087,211013
23743,9/30/2001,236964,215561
23745,12/31/2001,61696,56580
23745,3/31/2001,58963,53882
23745,6/30/2001,59573,54380
23745,9/30/2001,63136,57940
23749,12/31/2001,49765,45116
23749,3/31/2001,45734,41311
23749,6/30/2001,45316,40820
23749,9/30/2001,48865,44264
2375,12/31/2001,72932,64606
2375,3/31/2001,73280,65078
2375,6/30/2001,73968,65592
2375,9/30/2001,73636,65108
23754,3/31/2001,113423,102866
23754,6/30/2001,109414,98581
23754,12/31/2001,114680,103609
23754,9/30/2001,114221,103288
23756,12/31/2001,128806,116488
23756,3/31/2001,122164,110970
23756,6/30/2001,124000,112728
23756,9/30/2001,126308,114285
23757,12/31/2001,186162,173063
23757,9/30/2001,200382,180769
23757,3/31/2001,205278,186601
23757,6/30/2001,201178,182224
23760,12/31/2001,66257,61172
23760,3/31/2001,48802,44368
23760,6/30/2001,52354,47768
23760,9/30/2001,59835,54740
23764,12/31/2001,25671,23751
23764,3/31/2001,26111,24334
23764,6/30/2001,24880,23040
23764,9/30/2001,24695,22820
2377,12/31/2001,151717,137791
2377,3/31/2001,150893,137554
2377,6/30/2001,149688,136034
2377,9/30/2001,149684,135553
23772,12/31/2001,338136,308009
23772,3/31/2001,237857,214898
23772,6/30/2001,240542,216950
23772,9/30/2001,240297,215422
23786,3/31/2001,188749,168748
23786,6/30/2001,192618,172353
23786,9/30/2001,188573,167509
23786,12/31/2001,186889,159537
2379,12/31/2001,101795,86858
2379,3/31/2001,92178,78040
2379,6/30/2001,93527,79151
2379,9/30/2001,96313,81264
23798,12/31/2001,89954,84139
23798,3/31/2001,87909,82998
23798,6/30/2001,87677,82434
23798,9/30/2001,89224,83442
23799,12/31/2001,96572,86477
23799,3/31/2001,89768,80239
23799,6/30/2001,91455,81570
23799,9/30/2001,94087,83822
238,12/31/2001,22421,19881
238,3/31/2001,20265,17834
238,6/30/2001,20448,17963
238,9/30/2001,21222,18695
2380,12/31/2001,149226,131466
2380,3/31/2001,140878,124265
2380,6/30/2001,144644,127723
2380,9/30/2001,145191,127596
23803,12/31/2001,156281,145271
23803,3/31/2001,136662,126324
23803,6/30/2001,142129,131525
23803,9/30/2001,152639,141781
23805,12/31/2001,129764,119825
23805,3/31/2001,167495,153668
23805,6/30/2001,145434,131574
23805,9/30/2001,133108,119156
23806,12/31/2001,112790,104112
23806,3/31/2001,98406,90793
23806,6/30/2001,101206,93332
23806,9/30/2001,108890,100789
23812,3/31/2001,294592,273373
23812,6/30/2001,414111,384645
23812,9/30/2001,412478,384520
23815,12/31/2001,56531,49150
23815,3/31/2001,50173,42946
23815,6/30/2001,54416,47049
23815,9/30/2001,54813,47347
2382,12/31/2001,39443,33798
2382,3/31/2001,39478,33947
2382,6/30/2001,39152,33538
2382,9/30/2001,39578,33884
23826,12/31/2001,207934,186971
23826,3/31/2001,186596,167577
23826,6/30/2001,188873,169033
23826,9/30/2001,197282,176447
2383,12/31/2001,31691,26235
2383,3/31/2001,30955,25662
2383,6/30/2001,31471,26058
2383,9/30/2001,31227,25683
23834,12/31/2001,66013,57765
23834,3/31/2001,61427,51707
23834,6/30/2001,73570,63687
23834,9/30/2001,72655,62666
23835,12/31/2001,29681,26270
23835,3/31/2001,31619,28310
23835,6/30/2001,31201,27846
23835,9/30/2001,30505,27059
23836,12/31/2001,28983,26018
23836,3/31/2001,27154,24364
23836,6/30/2001,27937,25079
23836,9/30/2001,28186,25143
23838,3/31/2001,301355,274905
23838,6/30/2001,310707,283474
23838,9/30/2001,309326,282059
23864,12/31/2001,143481,131443
23864,3/31/2001,147645,135900
23864,6/30/2001,141636,129362
23864,9/30/2001,135940,123239
23866,12/31/2001,61130,54858
23866,3/31/2001,58165,52308
23866,6/30/2001,62058,55970
23866,9/30/2001,68212,62175
23876,3/31/2001,58879,53269
23876,12/31/2001,59065,51093
23876,6/30/2001,61348,53661
23876,9/30/2001,59952,52143
23881,3/31/2001,645725,579840
23881,6/30/2001,657840,588920
23881,9/30/2001,658509,586408
23881,12/31/2001,855068,792654
23883,12/31/2001,183177,171472
23883,3/31/2001,161787,149156
23883,6/30/2001,167952,155097
23883,9/30/2001,173557,159884
23886,12/31/2001,217999,200561
23886,3/31/2001,196746,180682
23886,6/30/2001,198677,182086
23886,9/30/2001,210681,193149
23891,12/31/2001,38653,35420
23891,3/31/2001,33972,30582
23891,6/30/2001,37167,33694
23891,9/30/2001,37886,34337
23894,12/31/2001,40963,36880
23894,3/31/2001,40351,36565
23894,6/30/2001,41238,37316
23894,9/30/2001,40802,36782
239,12/31/2001,53425,49495
239,3/31/2001,50663,46558
239,6/30/2001,51515,47514
239,9/30/2001,50725,46688
23901,12/31/2001,417252,382552
23901,3/31/2001,382760,349804
23901,6/30/2001,402870,369475
23901,9/30/2001,410363,376493
2391,12/31/2001,138730,125185
2391,3/31/2001,133030,119892
2391,6/30/2001,129226,115829
2391,9/30/2001,132050,118064
23922,3/31/2001,4760,593
23922,6/30/2001,4288,67
23927,12/31/2001,66802,60450
23927,3/31/2001,60483,54595
23927,6/30/2001,66088,60034
23927,9/30/2001,67287,61016
23966,12/31/2001,262132,243237
23966,3/31/2001,160395,147916
23966,6/30/2001,257833,240233
23966,9/30/2001,256667,237998
2398,12/31/2001,116911,106703
2398,3/31/2001,117063,107381
2398,6/30/2001,117301,107261
2398,9/30/2001,114847,104663
23986,12/31/2001,44235,40174
23986,3/31/2001,37168,33446
23986,6/30/2001,39916,36090
23986,9/30/2001,42709,38766
23989,12/31/2001,66638,59851
23989,3/31/2001,63743,57436
23989,6/30/2001,63598,57110
23989,9/30/2001,64292,57557
23992,12/31/2001,811069,703650
23992,3/31/2001,744624,643733
23992,6/30/2001,756203,653559
23992,9/30/2001,772626,667128
23998,12/31/2001,92303,79793
23998,3/31/2001,83241,71233
23998,6/30/2001,86694,74393
23998,9/30/2001,91120,78533
24015,12/31/2001,186586,172393
24015,3/31/2001,210905,197746
24015,6/30/2001,200536,187289
24015,9/30/2001,191401,176725
2402,12/31/2001,102773,92975
2402,3/31/2001,106127,95887
2402,6/30/2001,103635,93200
2402,9/30/2001,102365,92734
24029,12/31/2001,5960000,4540000
24029,3/31/2001,6180000,4870000
24029,6/30/2001,6800000,5440000
24029,9/30/2001,6290000,4880000
24030,12/31/2001,97238,90098
24030,3/31/2001,84573,78338
24030,6/30/2001,88747,82172
24030,9/30/2001,92087,85165
24038,12/31/2001,13080,10846
24038,9/30/2001,13467,11296
24038,3/31/2001,13107,10860
24038,6/30/2001,12975,10739
24045,12/31/2001,352884,317128
24045,3/31/2001,246987,226887
24045,6/30/2001,248685,227997
24045,9/30/2001,293731,271786
24055,3/31/2001,98634,86737
24064,12/31/2001,47997,43799
24064,3/31/2001,45620,41546
24064,6/30/2001,46281,42083
24064,9/30/2001,46355,42168
24067,12/31/2001,1490000,1370000
24067,3/31/2001,1290000,1190000
24067,6/30/2001,1310000,1210000
24067,9/30/2001,1410000,1300000
24074,12/31/2001,318557,291664
24074,3/31/2001,273230,245082
24074,6/30/2001,289601,260528
24074,9/30/2001,315478,289186
24080,12/31/2001,69560,62869
24080,3/31/2001,91926,85653
24080,6/30/2001,80760,74326
24080,9/30/2001,74407,67923
24085,12/31/2001,68035,62264
24085,3/31/2001,63416,57612
24085,6/30/2001,67027,61235
24085,9/30/2001,66419,60443
2409,12/31/2001,110524,101366
2409,3/31/2001,91391,81822
2409,6/30/2001,99617,89910
2409,9/30/2001,106579,96581
24093,3/31/2001,122139,113360
24093,12/31/2001,125137,115591
24093,6/30/2001,116745,107600
24093,9/30/2001,115883,106321
24094,12/31/2001,128694,118803
24094,3/31/2001,127706,118411
24094,6/30/2001,133568,124097
24094,9/30/2001,131223,121479
24096,12/31/2001,298877,279975
24096,3/31/2001,280048,261993
24096,6/30/2001,267957,249784
24096,9/30/2001,279244,260866
24099,12/31/2001,49123,44555
24099,3/31/2001,48835,44400
24099,6/30/2001,48243,43889
24099,9/30/2001,50237,45736
241,3/31/2001,97349,88484
241,6/30/2001,98159,89354
241,9/30/2001,95763,86585
24107,12/31/2001,4370000,4000000
24107,3/31/2001,3800000,3480000
24107,6/30/2001,3900000,3570000
24107,9/30/2001,4070000,3720000
24108,12/31/2001,147311,131759
24108,3/31/2001,149672,139156
24108,6/30/2001,145849,135047
24108,9/30/2001,148077,136994
24109,12/31/2001,84649,77916
24109,3/31/2001,83674,77439
24109,6/30/2001,86205,79768
24109,9/30/2001,86960,80341
2412,12/31/2001,35888,32501
2412,3/31/2001,33553,30356
2412,6/30/2001,34193,30961
2412,9/30/2001,36350,32869
24120,12/31/2001,78850,72606
24120,3/31/2001,69880,64096
24120,6/30/2001,72798,66912
24120,9/30/2001,74888,68847
24123,12/31/2001,277739,263978
24123,3/31/2001,249079,236278
24123,6/30/2001,260457,247317
24123,9/30/2001,270434,256961
2413,12/31/2001,116946,107961
2413,3/31/2001,108194,100042
2413,6/30/2001,108460,99993
2413,9/30/2001,114805,106029
24140,12/31/2001,84574,78170
24140,3/31/2001,77248,71832
24140,6/30/2001,79078,73483
24140,9/30/2001,82323,76326
24156,12/31/2001,3920000,3660000
24156,3/31/2001,3620000,3370000
24156,6/30/2001,3930000,3670000
24156,9/30/2001,4010000,3760000
24160,12/31/2001,66230,60474
24160,3/31/2001,65587,59846
24160,6/30/2001,63347,57673
24160,9/30/2001,64164,58406
24170,12/31/2001,1160000,1050000
24170,3/31/2001,1070000,977444
24170,6/30/2001,1110000,1020000
24170,9/30/2001,1140000,1040000
24173,12/31/2001,98187,87833
24173,3/31/2001,84359,75605
24173,6/30/2001,85445,75993
24173,9/30/2001,94253,83968
24181,12/31/2001,25485,22671
24181,3/31/2001,29386,26668
24181,6/30/2001,27441,24670
24181,9/30/2001,26187,23385
24185,12/31/2001,4690000,4370000
24185,3/31/2001,4130000,3820000
24185,6/30/2001,4060000,3750000
24185,9/30/2001,4120000,3810000
24199,12/31/2001,173166,159989
24199,3/31/2001,154330,143033
24199,6/30/2001,158760,147230
24199,9/30/2001,168353,155484
24200,12/31/2001,262713,246421
24200,3/31/2001,252768,239125
24200,6/30/2001,253454,239239
24200,9/30/2001,266458,250561
24206,12/31/2001,353757,301606
24206,3/31/2001,355870,319762
24206,6/30/2001,311706,270212
24206,9/30/2001,278671,228713
24210,12/31/2001,82090,76249
24210,3/31/2001,69780,64230
24210,6/30/2001,78250,72656
24210,9/30/2001,81938,76317
24211,12/31/2001,33014,29908
24211,3/31/2001,34348,31324
24211,6/30/2001,34852,31805
24211,9/30/2001,35829,32727
24227,12/31/2001,99272,92254
24227,3/31/2001,101724,94186
24227,6/30/2001,100251,92906
24227,9/30/2001,103151,95437
24228,12/31/2001,105535,93837
24228,3/31/2001,106957,96000
24228,6/30/2001,102628,91477
24228,9/30/2001,102184,90681
24229,12/31/2001,214215,197603
24229,3/31/2001,190096,175947
24229,6/30/2001,189211,175267
24229,9/30/2001,196869,181214
24243,12/31/2001,792763,735508
24243,3/31/2001,695596,634884
24243,6/30/2001,743816,683903
24243,9/30/2001,753070,696953
24244,12/31/2001,72167,65174
24244,3/31/2001,64838,57676
24244,6/30/2001,65025,57568
24244,9/30/2001,67646,59959
24247,12/31/2001,144058,132321
24247,3/31/2001,107268,98081
24247,6/30/2001,116849,105978
24247,9/30/2001,142148,130777
24250,12/31/2001,53038,49475
24250,3/31/2001,55226,51331
24250,6/30/2001,58367,54812
24250,9/30/2001,57142,53529
24271,3/31/2001,108834,99700
24271,6/30/2001,112767,103467
24271,12/31/2001,109951,100349
24271,9/30/2001,112059,102515
24272,12/31/2001,55885,51500
24272,3/31/2001,53896,49515
24272,6/30/2001,53392,48971
24272,9/30/2001,54896,50474
2429,12/31/2001,127459,110649
2429,3/31/2001,109482,93393
2429,6/30/2001,115164,98919
2429,9/30/2001,121216,104403
243,12/31/2001,46908,41426
243,3/31/2001,46138,41860
243,6/30/2001,44551,40361
243,9/30/2001,47100,42940
24303,12/31/2001,65569,60365
24303,3/31/2001,42516,37407
24303,6/30/2001,43219,38013
24303,9/30/2001,61285,55989
24305,12/31/2001,61068,54321
24305,3/31/2001,56847,50311
24305,6/30/2001,58727,52046
24305,9/30/2001,58292,51373
24307,12/31/2001,66148,61482
24307,3/31/2001,66221,61652
24307,6/30/2001,65504,60836
24307,9/30/2001,65181,60409
24308,12/31/2001,176024,158293
24308,3/31/2001,156558,140855
24308,6/30/2001,158670,142511
24308,9/30/2001,173245,155760
24311,12/31/2001,264980,238243
24311,3/31/2001,267173,241162
24311,6/30/2001,258370,231957
24311,9/30/2001,257817,231697
24312,12/31/2001,121887,106012
24312,3/31/2001,111826,96926
24312,6/30/2001,116001,100149
24312,9/30/2001,122056,106125
24315,12/31/2001,1260000,1150000
24315,3/31/2001,1200000,1100000
24315,6/30/2001,1250000,1150000
24315,9/30/2001,1280000,1170000
24332,12/31/2001,247206,202917
24332,3/31/2001,273348,229498
24332,6/30/2001,259752,216151
24332,9/30/2001,255167,211013
24334,12/31/2001,47812,41452
24334,3/31/2001,46017,40215
24334,6/30/2001,46609,40710
24334,9/30/2001,45557,39232
24337,12/31/2001,691541,652144
24337,3/31/2001,603423,569115
24337,6/30/2001,675667,638603
24337,9/30/2001,654064,613848
24342,12/31/2001,16912,15139
24342,3/31/2001,17235,15534
24342,6/30/2001,17580,15861
24342,9/30/2001,17954,16207
24347,12/31/2001,435986,407429
24347,3/31/2001,362502,336579
24347,6/30/2001,372730,345756
24347,9/30/2001,409570,380860
24350,12/31/2001,69019,63747
24350,3/31/2001,62628,57748
24350,6/30/2001,65552,60504
24350,9/30/2001,65132,59533
24353,12/31/2001,87304,81176
24353,3/31/2001,88745,82820
24353,6/30/2001,91372,85247
24353,9/30/2001,92114,86094
24355,12/31/2001,42863,39826
24355,9/30/2001,42382,38944
24355,3/31/2001,43921,40479
24355,6/30/2001,41582,38057
24367,12/31/2001,46625,42241
24367,3/31/2001,43962,39676
24367,6/30/2001,45114,40774
24367,9/30/2001,45540,41107
24382,3/31/2001,1730000,1610000
24382,6/30/2001,1530000,1440000
24382,9/30/2001,1410000,1320000
24387,3/31/2001,140450,123037
24387,6/30/2001,139828,122065
24387,12/31/2001,155651,120878
24387,9/30/2001,160097,124923
24391,12/31/2001,79548,72789
24391,3/31/2001,82585,76008
24391,6/30/2001,81175,74629
24391,9/30/2001,80282,73621
24422,12/31/2001,36412,34527
24422,3/31/2001,37997,35172
24422,6/30/2001,41119,38926
24422,9/30/2001,36799,34744
2443,12/31/2001,158931,145688
2443,3/31/2001,151105,138777
2443,6/30/2001,153824,141062
2443,9/30/2001,155878,142842
2444,12/31/2001,63540,56728
2444,3/31/2001,61594,53966
2444,6/30/2001,61829,54129
2444,9/30/2001,64272,56402
24443,12/31/2001,16240,15033
24443,3/31/2001,15295,14317
24443,6/30/2001,15707,14699
24443,9/30/2001,16353,15120
24445,12/31/2001,127483,118916
24445,3/31/2001,125304,116698
24445,6/30/2001,125531,117310
24445,9/30/2001,126129,117685
24451,3/31/2001,135254,125691
24451,6/30/2001,124269,115464
24451,9/30/2001,126983,117654
24458,12/31/2001,1120000,1020000
24458,3/31/2001,1010000,923862
24458,6/30/2001,1050000,956391
24458,9/30/2001,1100000,1000000
24465,12/31/2001,88364,80385
24465,3/31/2001,96909,87275
24465,6/30/2001,119539,109955
24465,9/30/2001,111721,101689
24471,12/31/2001,28011,20256
24471,3/31/2001,27164,18138
24471,6/30/2001,27412,18921
24471,9/30/2001,27933,19499
24472,12/31/2001,103629,94618
24472,3/31/2001,102709,94112
24472,6/30/2001,105521,96866
24472,9/30/2001,104154,94967
2448,12/31/2001,48521,42059
2448,3/31/2001,43051,36612
2448,6/30/2001,44257,37764
2448,9/30/2001,47378,40754
24481,12/31/2001,97305,90209
24481,3/31/2001,83269,76882
24481,6/30/2001,85631,78928
24481,9/30/2001,87297,80051
24493,12/31/2001,36903,33694
24493,3/31/2001,22183,19155
24493,6/30/2001,22518,19436
24493,9/30/2001,25140,21990
24495,12/31/2001,62205,55720
24495,3/31/2001,59770,53579
24495,6/30/2001,59295,52934
24495,9/30/2001,62691,55950
24497,12/31/2001,56576,48907
24497,3/31/2001,52848,46251
24497,6/30/2001,50001,43538
24497,9/30/2001,49978,43444
24498,12/31/2001,44213,40846
24498,3/31/2001,40581,37672
24498,6/30/2001,43179,40201
24498,9/30/2001,44760,41459
245,12/31/2001,91998,83529
245,3/31/2001,88202,80150
245,6/30/2001,88415,80172
245,9/30/2001,86907,78374
24500,12/31/2001,60716,55830
24500,3/31/2001,51976,47231
24500,6/30/2001,53275,48369
24500,9/30/2001,58161,53093
24503,12/31/2001,15400000,12300000
24503,3/31/2001,16700000,14300000
24503,6/30/2001,15700000,13100000
24503,9/30/2001,15200000,12300000
24516,12/31/2001,690714,632411
24516,3/31/2001,711088,656738
24516,6/30/2001,724249,668510
24516,9/30/2001,713682,655973
2452,12/31/2001,84184,74942
2452,3/31/2001,82741,73602
2452,6/30/2001,84363,75044
2452,9/30/2001,84382,74596
24526,3/31/2001,594036,546226
24526,6/30/2001,619014,571034
24526,12/31/2001,650932,597281
24526,9/30/2001,642257,592866
2453,12/31/2001,124883,104947
2453,3/31/2001,118035,98422
2453,6/30/2001,121380,101698
2453,9/30/2001,122961,102965
24540,12/31/2001,177936,165054
24540,3/31/2001,175647,164632
24540,6/30/2001,170243,158915
24540,9/30/2001,182815,171119
2455,12/31/2001,89727,78936
2455,3/31/2001,86415,75990
2455,6/30/2001,85643,75089
2455,9/30/2001,86828,75869
24551,12/31/2001,123715,115244
24551,3/31/2001,115589,107718
24551,6/30/2001,120685,112643
24551,9/30/2001,123102,114605
24561,12/31/2001,126909,116709
24561,3/31/2001,114742,104919
24561,6/30/2001,120663,110655
24561,9/30/2001,123158,112890
24563,12/31/2001,16957,14612
24563,3/31/2001,15633,13444
24563,6/30/2001,15660,13413
24563,9/30/2001,16392,14089
24575,12/31/2001,30820,28419
24575,3/31/2001,27213,24888
24575,6/30/2001,30341,27986
24575,9/30/2001,31874,29496
24577,12/31/2001,36025,33094
24577,3/31/2001,32927,30151
24577,6/30/2001,33126,30264
24577,9/30/2001,33961,31083
24581,3/31/2001,652726,602798
24581,6/30/2001,640153,587838
24581,9/30/2001,639442,583701
24581,12/31/2001,652437,598584
24603,12/31/2001,99182,90933
24603,3/31/2001,100141,91555
24603,6/30/2001,101735,93143
24603,9/30/2001,101424,92609
24606,12/31/2001,225255,208258
24606,3/31/2001,191923,175751
24606,6/30/2001,208497,192171
24606,9/30/2001,210595,193767
24642,12/31/2001,184431,170025
24642,3/31/2001,180403,167427
24642,6/30/2001,171620,158160
24642,9/30/2001,171989,158017
24655,12/31/2001,229935,207153
24655,3/31/2001,222724,201971
24655,6/30/2001,217574,196127
24655,9/30/2001,221419,198850
24660,12/31/2001,82944,76853
24660,3/31/2001,76309,70527
24660,6/30/2001,80551,74710
24660,9/30/2001,80218,73987
2467,12/31/2001,87653,78765
2467,3/31/2001,86467,77859
2467,6/30/2001,85654,76963
2467,9/30/2001,86486,77391
24675,12/31/2001,102320,90551
24675,3/31/2001,91599,80778
24675,6/30/2001,98845,87849
24675,9/30/2001,107167,95606
24677,12/31/2001,106747,96914
24677,3/31/2001,112128,102580
24677,6/30/2001,109197,99474
24677,9/30/2001,105172,95417
24678,12/31/2001,98891,92613
24678,3/31/2001,75142,69485
24678,6/30/2001,84079,78369
